"","Hectare.Squirrel.Number","Above.Ground.Sighter.Measurement","Primary.Fur.Color"
"780",5,2,"Gray"
"781",8,10,"Gray"
"782",8,15,"Gray"
"783",1,10,"Gray"
"784",3,25,"Gray"
"785",10,6,"Cinnamon"
"786",1,25,"Gray"
"787",2,25,"Gray"
"788",4,3,"Gray"
"789",5,20,"Gray"
"790",4,15,"Gray"
"791",6,30,"Gray"
"792",3,10,"Gray"
"793",1,7,"Gray"
